Author,Date,Text
Lilac Sky,28/10/2021 23:59,"@Leen74838251 If U ever want 2talk 2me, DM me &amp; I’ll be happy 2give U my phone #. I’m so sorry U have 2suffer. #AlanWatts has tons of videos on YouTube that discuss the inseparable nature &amp; interconnectedness of reality.That we are all the gro"
DEITY 🦁🐯,28/10/2021 23:59,@cjokafor_ @Shiller121 @DharmeeSZN Google get android and you think they won't make their phone phone the king?
• • • STEELY DAN • • • and the Proletariat,28/10/2021 23:59,"#ICACnsw #ICAC #GladysBerejiklian #Maguire 

One of the best things about this is watching #Gladys stew and squirm while waiting for the next phone intercept to the be played .. 😄"
imaanbalqis,28/10/2021 23:59,"Nak log in shopee centre NOW. Nak print airwaybill. But I can't sebab format phone and pakai captured photo banyak kali time nak log in.

Pls @ShopeeMY"
Worldwide Interns,28/10/2021 23:59,"This job is now open at Thermo Fisher Scientific in #Regensburg, BY. Follow us and turn on mobile alerts to hear about jobs like these as soon as they're posted: Praktikant (w/m/d) zur Mitarbeit im Labor #internship"
𝕛𝕦𝕟𝕘𝕙𝕠𝕦𝕝。🦇,28/10/2021 23:59,"@flcwerjxys *watches you try to mold yourself to my thigh and smiles to myself, drops a hand down to brush your hair from your face* sweet dreams, my love. *looks to my phone to watch the cartoons with seungie while sipping my coffee*"
jo,28/10/2021 23:59,"Oops another phone call excerpt (2 hours after the last phone call)

“Well I’ve already got you the Wagga hospital….”"
Marcus,28/10/2021 23:59,"@juhasaarinen @lexysavvides I, for one, look forward to watches having a camera (ideally in the side, not facing at me) for scanning qr codes without a phone"
Andrew Jones,28/10/2021 23:59,#icac Every phone extract highlights just how unpleasent Darryl Macguire is. He just rants to Gladys and she asks him to to shout at her cause he does that sometimes.
⟭⟬ 𝑨𝒏𝒈𝒆𝒍𝒊𝒄𝒂♡⁷ ⟬⟭ ᴺᵒ¹,28/10/2021 23:59,"UGH, TEXAS ENERGY NEEDS TO GET IT SH*T TOGETHER! I'M TRYING TO DO THINGS HERE!! 🤬
I guess I'll have to rely on my army bombs and whatever battery I have left on my phone/laptop 😒😫 https://t.co/EiRG9AhSze"
spooky lex 🧛🏽‍♀️,28/10/2021 23:59,Sometimes I be looking at my phone wishing a random deposit hit it lmao
Lindsay,28/10/2021 23:59,@hoznasty I tried turning off location services and changing the date on my phone and it also didn't work :/
Travis,28/10/2021 23:59,"@RozInRealLife @dvnmstrs She’s on the East Coast.  LOVE that I can call at 2am her time and she’ll tell some guy to “shut up” while she talks with me on the phone.

Can’t imagine where I’d be without her"
Charles Penny,28/10/2021 23:59,@NicleEvlyn1 Very beautiful sweetheart ❤God bless you honey am charles Penny text me 347 499 5954 phone number and what's up dear
bailey,28/10/2021 23:59,one of the best days of my life was ruining the song “if it means a lot to you” by a day to remember for a bethel school of supernatural ministry™️ student by explaining its about phone sex
Yana💜,28/10/2021 23:59,Tired of paying these bills for stuff i dont use fr … LIKE MY PHONE BILL **
Tash.0,28/10/2021 23:59,Only if I tell him to answer the phone for me but otherwise no. We have each other’s passcodes but we don’t access each other’s phones without permission. https://t.co/4Cdn3ifQch
Jonathan,28/10/2021 23:59,@WilsonHaidy Spoke with a lady on the phone and was smitten. We've been married for 6 years.
🍍🌵🐱 𝕊𝕡𝕒𝕕𝕘𝕖𝕥 𝕊𝕚𝕞𝕤 🐱🌵🍍,28/10/2021 23:59,@grenesims Sorry about my typos! My phone keyboard has been on something the past few days! I so wish you could edit tweets!
The Seattle Times,28/10/2021 23:59,Thinking about getting a new phone? Here's what you need to know about the new Google Pixel 6 and Pixel 6 Pro.  https://t.co/R3fHaD6l6H
ً,28/10/2021 23:59,@noemysdiary thought yo phone died
Jacob Moore,28/10/2021 23:59,@AlbertBreer Use your data on phone/tablet and use one of the sites that stream the game🤷‍♂️
Single Mom Rock 👍🏽,28/10/2021 23:59,I really been snapping all day let me turn my phone off
Danny Phagtom 🤍🦋,28/10/2021 23:59,I’ve been off my phone more lately and honestly it feels really fucking good to not stress over things that come with being on my phone. Like spending time with my friends and just doing me
SanFran Library Sci,28/10/2021 23:59,"This job is now open at Oakland Unified School District in #Oakland, CA. Follow us and turn on mobile alerts to hear about jobs like these as soon as they're posted: Early Literacy Tutor (.40 FTE) - Emerson Elementary (2021-22) #Library"
Mad Scholar Strikes,28/10/2021 23:59,"@sujewafantastic @KICKSEAT Of course! I would just prefer greater accessibility, and every way, to real movie theaters, over making everything happen on your phone/laptop/flatscreen"
User Doesn't Exist,28/10/2021 23:59,Me googling a phone number instead of answering the call 🤣🤣🤣 https://t.co/p3fBKrMX4M
Celtic Tech (Vicki & Benji) 🍎 🦮 🐾📱⌚️👩‍💻,28/10/2021 23:59,"@420GoodyBox are thieves!!!  I told them to cancel, and they charged me anyway. Now I am on the phone with my bank reporting them for fraud. Do not deal with this company! They don’t communicate with customers and steal their money. #420GoodyBox"
Sarah Abrams,28/10/2021 23:59,@ChipotleTweets what is the point of ordering ahead when you just have to end up waiting 38 mins for your mobile order..???
thiago ferreira,28/10/2021 23:59,I won the Go For The Gold achievement in Mahjong by Microsoft (Mobile) for 193 points on #TrueAchievements https://t.co/KXlpgp1eXT
noemi 🦋,28/10/2021 23:59,just caught myself smiling at my phone someone take my phone away 😭
Vicky Ferrarini,28/10/2021 23:59,@stolenmoonligh It wasn't the first time I did it either. I had a phone for like a week and dropped it in one at work which was a public restroom. Yuck!
mrjulesdrop,28/10/2021 23:59,Minimal battery usage as phone probably looks at most servers to see if it's there home one anyway...
"Jenny Frecklington-Jones; pure ""Prole"" 🌏🏳️‍🌈💉",28/10/2021 23:59,"""It's Brad's fault!"" on the tape of a phone call about dollars for Tumut I think. 

😂🤣😂 #auspol #GladysBerejiklian #DarylMaguire #NSWICAC"
Call me Sphyxi.,28/10/2021 23:59,@audioharlot PHONE CALLS. i waited forever to finally return this call from a number that had called me for months and found when i'd called that they had a wrong number!
Censored,28/10/2021 23:59,@johnpaulp @defNotChuck Prices have slowed increases and leveled off (for the moment) but still pretty ridiculous. Had a buyer called me about a pre approval for a house at 635k…while I was on the phone they increased price to 675k 😂
I'm like the blue rose & nodding off,28/10/2021 23:59,"@_autostereogram Ok yeah dude, that's definitely purgatory 😆
https://t.co/c7Q9DDWclq"
Azza,28/10/2021 23:59,@Unlikely199 @LinkGoUp Lol. I could do anything like this… i found it saved on my phone from back in the early days of cunning foxes.. not sure who made it tho…
Rob Weber,28/10/2021 23:59,Any good sources to learn about applying Dark UX patterns in mobile apps?
TWI TEACHER New Acc 🇬🇭,28/10/2021 23:59,"@kwesi_hyde Yes 
Using the same Same phone makes it easy"
larisa,28/10/2021 23:59,gonna charge my phone
siu-iss cheese 🧀,28/10/2021 23:59,"@PNE0M that’s alright!! 💖
that’s true, it’s easier for me because I play more games on switch than on my phone but it will be different for everyone!
I play on the switch, but I want to get use to playing the mobile version! it lags on the switch"
Honey Barbeque(We),28/10/2021 23:59,Everyone is using the internet so I have use my mobile to feed my addiction to Twitter and share the nonsense of my life because I don't play well with real humans .
Crosswaves Radio,28/10/2021 23:59,"Now playing on Cross Waves Radio: Love Me, Love Me by Dean Martin! Tune in now: https://t.co/HOPpaZNkQg
Listen Directly:
https://t.co/QYgZFPb3gr #audio
As well as by Phone.
+1(631)359-8515"
𝚊𝚕𝚎𝚡.𝚓.𝚜 🌙🪐//22 Days !!,28/10/2021 23:59,i’m probably taking a social media break it’s long overdue so if you need me then call me if you have my personal phone number &lt;3 https://t.co/BGxZeLgbwV
Thomas Bick,28/10/2021 23:59,Gladys facial reactions during the phone calls are just brilliant  #ICAC
jax ໒ ꒱,28/10/2021 23:59,they have the school phone @hopefulmystical
Chill Brismon,28/10/2021 23:59,@truegreenthumb Put that phone down man. It’s the Queen’s night.
Razzle Dazzle Realtor Bae ✨,28/10/2021 23:59,Phone on DND 😭😂 https://t.co/F9Gpu3Lm9N
Angra #ThankYouMiura,28/10/2021 23:59,This is the first tweet on this website that almost made me throw my phone on the fucking floor out of sheer unbridled weeb rage. https://t.co/OApGCRVKi8
💀👻☠️🎃gavy 🔆,28/10/2021 23:59,@rotnhelI wtf my brother had my phone
halie,28/10/2021 23:59,a man having a phone is a red flag https://t.co/CcibvsquXv
Sarena,28/10/2021 23:59,"Why is ROBLOX not letting me log in I tried a couple of times different hours and tried to uninstall and install the app? I am logged in on my pc but it won’t lemme log in to any account on mobile. (I tried with many different accounts), I also tried quick log in (didn’t work). https://t.co/lzMgedFKtE"
Petco,28/10/2021 23:59,"@22pinkbutterfly Please have your friend send us a DM with their name, email/phone number, so we can have our HR team reach out to assist them."
Catherine,28/10/2021 23:59,"@cokeefe9 @9NewsSyd The phone intercepts in today’s hearing, where he swears and demands, and she placates, is hard to listen to. What an entitled demanding man baby he is. Hopefully she hears herself in retrospect, and chooses to never let a man speak "
zyalss,28/10/2021 23:59,@AwwTy_ my bad went to eat and idk where my phone is soi i couldnt see replies
North Brunswick Library,28/10/2021 23:59,"On 11/18 at 6:30PM, @NoBrunsLibrary is offering a free educational NJ #Cannabis Industry Job Market &amp; Business Insight Seminar. Register at: https://t.co/k0PIjOAbzo
Or, use your phone to scan the QR code. #cannabisjobs https://t.co/DqoGHmLH2C"
Jane Doh 丰,28/10/2021 23:59,"@ApataJ I suspect that one of the difficult issues of making Bitcoin ubiquitous in Nigeria,

is that downloading the blockchain with low bandwidth is difficult.

So many users will use mobile wallets only.

In my opinion, this makes #Bitcoin in Nigeria mo"
Adam N,28/10/2021 23:59,The Critical Hole at the Heart of Our Cell Phone Networks https://t.co/xUcin6yNv3 @wired
Foozic,28/10/2021 23:59,"@hydecaps “Joey, play the water-phone sound real quick”"
JUSDOIT_BRE_MY MOTTO,28/10/2021 23:59,I feel like if you gotta block ppl you posed to be fucking with you doing something and hiding shit cuz what you blocking for on all social media but not you phone that’s weird asf
Chaos 🥀,28/10/2021 23:59,@Wendys That's already my name in your gfs phone
Harley Padilla,28/10/2021 23:59,"@CoachBBlackmon Harley Padilla
Class: 2022
Height: 5’10
Weight: 170
Position: RB,CB,ATH
40 time: 4.63
School: Denair High School
From: Turlock, CA
Phone: (209)850-5557
Email: thegronkspikemia10@outlook.com
Hudl: https://t.co/Kjf1UfPeT3"
ᑎᗴᑎᗴᑭOOᕼᑭᑌᖇᖇᖇ💅🏽💋🧔🏿‍♀️👉👈🏳️‍🌈,28/10/2021 23:59,Phone dry
Bob Brown,28/10/2021 23:59,"Despite Biden’s Hopes, Democrats Remain Divided After Budget Deal Reached https://t.co/HJYoq7gGW0
 
Download our app to read more at https://t.co/Co5WzddwK6"
GamesBeat,28/10/2021 23:59,Activision acquires Digital Legends for its future Call of Duty mobile games https://t.co/8E2pi3lLj7 by @rachelkaser
1st day as an ock,28/10/2021 23:59,when I get bad head I think about the Aquarius that smashed my phone
Dame DishesToDo 🎀🍩,28/10/2021 23:59,"Anyone else sitting in their car to watch #Gladys because their phone is almost flat, &amp; there's no electricity because of #Melbourneweather 🤔 What a time to be alive! https://t.co/vxzi5s5gog"
VentureBeat,28/10/2021 23:59,Activision acquires Digital Legends for its future Call of Duty mobile games https://t.co/eU3YEsH2bv by @rachelkaser
Ian Flavin,28/10/2021 23:59,"@WillBowdenSnap @RyanAFournier @kelpa123 Oh no.
Listen, this was my mistake. I went for a shit before bed, was browsing me phone, and saw a notification from you from earlier, so I thought I'd alleviate the boredom of squeezing one out. Nighty night."
𝙻𝚘𝚛𝚍𝚎𝚜𝚜,28/10/2021 23:59,Thats what the fuck went on last time I had her cell phone number I aint really want April number
Amanda,28/10/2021 23:59,Sad that I had to set an alarm on my phone to remind me to call the gas company.
Mitch Ian Cumstein-,28/10/2021 23:59,"**Breaking** 

Trade talks pick up when GM's phone each other https://t.co/rOErDwbmZ4"
Pumpkin Pecan Coffee,28/10/2021 23:59,"As I took the bus, I thought, I've been here in Minnesota for eight years now, and the police made up illegal parking tickets to take my car, I can't get through to people on the phone or via email, and once again I'm sorting through boxes in storage."
L⁷ ⧖ | DEJA VU,28/10/2021 23:59,So first people put tracking devices on ateez's cars and now people have found their phone numbers and kkt accs?? This another level of fucked up like WHAT?????
Rex Martinich,28/10/2021 23:59,"#ICAC is played another intercepted phone call from May 2018 
Ms Berejiklian tells Mr Maguire she ""got you"" $170 million for Wagga hospital 
""I said to Dom, just put it in, he does what I ask him to"" Ms Berejiklian said."
Captain Jeebus,28/10/2021 23:59,@SethEverman But who was phone
宮田ぢろん_bot,28/10/2021 23:59,When your phone corrects ‘shot’ and ‘shut’ to ‘shit’?? I don’t swear.
garden of our hearts bot,28/10/2021 23:58,"Marcy is already looking at her phone, not paying attention to the conversation anymore. “Hey, is that 24-hour boba place still open?”"
Casual Observer,28/10/2021 23:58,@newscomauHQ Gladys is toast. These phone recordings are irrefutable.
Ivan Hanna #EvictMorrison #AlboForPM,28/10/2021 23:58,Gladys is like 'rabbit in the headlights' as Robertson plays 'phone taps' 😩 #ICAC
Amazon Help,28/10/2021 23:58,"@peekachoofact We're sorry for the trouble! We'd like to look into this with you. At your earliest convenience, please reach us by phone here: https://t.co/hApLpMlfHN. -Josue"
Fred,28/10/2021 23:58,"Burr’s Brother-in-Law Called Stock Broker, One Minute After Getting Off Phone With Senator — ProPublica https://t.co/nMc2Os484i"
king assmore,28/10/2021 23:58,"hi this is my oc HiByte who i use to selfship. 
mobile lines+mobile color || mobile lines + PC color
i luv spamton ok.. https://t.co/fOW1Ec5p0L"
Keith Agius,28/10/2021 23:58,"""I don't recall"" @GladysB is being skewered on the stand. Phone intercepts &amp; text messages don't lie! She's a goner! #ICACnsw #nswpol #LNPCorruptionParty #auspol #DarylMaguire #GladysBerejiklian"
§†£v£,28/10/2021 23:58,"That's it. Fuck you @CashApp  . For the mobile check deposit they require you to write specific language on the back of the check particular to cash app, and then the FUCKING DENY THE CHECK. If there was a cash app ""branch"" here I would kill someone. Fuck all of you"
@EMPRESSATL,28/10/2021 23:58,"@darylsoul1 Lmfao niggas laugh with one another, and it’s always one nigga that leaves and cry in the car. Y’all so fake playa! 😂😂😂 texting her phone like “why you fuck him?”"
Gritty is the Way,28/10/2021 23:58,"@diego_biotech And here's one on his authoritarianism:
https://t.co/e795fSh7T6"
Papá,28/10/2021 23:58,@PibeFc @aranabanfilena Work Fast Phone Keyboard
Chris Seper,28/10/2021 23:58,Still on my phone. Miss it that much. No other options. https://t.co/ZGcyjhIlBt https://t.co/it6GIeT4DZ
Kean,28/10/2021 23:58,"@TwiTati @xdadevelopers He already knows, this just gives him a clearer live view when the phone is in your pocket"
Rico Saenz,28/10/2021 23:58,@Roblox @DavidBaszucki Why is Roblox not working on my phone and my friend or having the same thing to
Ian Berg,28/10/2021 23:58,"Well. Over an hour on the phone with both @FedEx AND @AshleyHomeStore has put me no closer at all to obtaining the bookshelf that has been ""scheduled for delivery tomorrow"" and/or ""out for delivery today"" every day since Oct 21sth @FedExHelp @AshleyHomeHelp"
🌊,28/10/2021 23:58,I used my aunts phone number online somewhere &amp; her number was sold now her phones literally been taken over by spammmmmmm😭🤣😭😭 like 15 20 calls &amp; texts a day
Ben,28/10/2021 23:58,@ftblAyara Ahhhh thank u so much. So he would deffo be able to get in like if I just sent him his barcode or whatever to use on his phone and I can use my membership card?
Justin Starr,28/10/2021 23:58,"&lt;I just called my brother on the phone&gt;
Him: Sup?
Me: I love my Farmer hockey skates!
Him: Huh?
Me: My Farmer hockey skates. I love them. 
Him: Farmer… hockey skates?
Me: Bauer!
Him: OHGODDAMMIT!

This tweet was brought to you by:
The German language. 🇩🇪😂 https://t.co/j26S0W07CP"
kee,28/10/2021 23:58,"Lord I’m on mobile patrol and i think my ex robbed a gas station 💀💀💀 i ain’t saying this man is him, but i know this man forehead anywhere."
Robin 🔪,28/10/2021 23:58,"@_Rewhan You can't really compare poverty between centuries like that, lol.

Like a cell phone is more or less mandatory to have a job, but was science fiction in 1960s for most people and magic wish thinking in 1660."
•,28/10/2021 23:58,set up my mom’s new phone and now I have a headache that woman knows none of her passwords my god
sofia,28/10/2021 23:58,honestly billzo is the first streamer in a while where i can concentrate on his streams. like not go on my phone and have it in the background. like him and sapnap are legit the only streamers who i have that with
Hannah Drake,28/10/2021 23:58,"Walking miles to work because you are fighting for the right to sit up front on a bus is uncomfortable.
Getting a phone call that your daughter who was on her way to a new journey in her life is dead on a jailhouse floor is uncomfortable."
Hou (Like Lou) Hertchu,28/10/2021 23:58,I’ll let you go thru my phone but we gotta break up first.
Quizz__TwT 2,28/10/2021 23:58,@Cfalcioni @CocoButterPlays @Roblox @DavidBaszucki same  this is happening to me on my phone ios
♕︎|𝑤𝑎𝑡𝑡𝑝𝑎𝑑 𝑏𝑜𝑜𝑘 𝑐𝑢𝑡𝑖𝑒𝑒,28/10/2021 23:58,@jiims manifesting new phone✨✨✨
💜𝓡𝓸𝓲𝓼𝓲𝓷 𝓕𝓮𝔂💜,28/10/2021 23:58,@NjbNjbrinton @WFLAJosh I listened from 3:50 &amp; he doesn't state anywhere he has only communicated with them by phone nor does he state he has never met them in person.
🌈,28/10/2021 23:58,"YO!!!! I will NEVER forget the time i had an exam and i studied all night for it then decided to ""rest small"". It was a 9am paper and then i hear my phone ring and @eme_offiong goes ""where are you"" and i check the time and it's 8:53am but like i literally JUST woke up😭😭"
Lexi Martin✨,28/10/2021 23:58,I would like to formally apologize to all my friends in elementary school who I never called because I was too scared to talk to their parents when they picked up the house phone.
Bate™,28/10/2021 23:58,"@Ihartitz Just had a phone call in English with Lilly. She says Kyle Pitts is a TE, not WR"
Poncheetoes🇰🇷,28/10/2021 23:58,@NotCheerius answer ur phone
hannah,28/10/2021 23:58,@user22879 aye lemme borrow yo phone rq i gotta call my mom
rats birthday mixtape,28/10/2021 23:58,can’t believe i have genshin impact on my phone now
strave victourous,28/10/2021 23:58,@Whitecrowthoug1 @butajape Rocko was a phone sex worker
Yams,28/10/2021 23:58,@NodleCash free mining on your smart phone 📱💪
bel,28/10/2021 23:58,well i was very inactive these days and missed some content but i’m happier now that i focus more on my life and spend less time on my phone
stoney,28/10/2021 23:58,Cant stand people who are on their phone all day and still can’t text back
Alex🇺🇸,28/10/2021 23:58,"@WDWNT ""This happened cause Disney has you use your phone"" is probably one of the worst hot takes on this video someone could make."
NuNu from Su💙💛🍑,28/10/2021 23:58,"niggas gone show they ass on the media, but be simped out on that phone💀"
LuNaLoVeCoMiCs/paid comissions open!,28/10/2021 23:58,"Here in twitter I usually use photos taken by my phone camera, so not always the best quality, same in instagram. It's usually my FB, tumblr and deviantart, that I dont post much btw, that have the better quality ones"
clancy tucker,28/10/2021 23:58,Phone calls between Gladys and Maguire are a wake-up call for a future Federal ICAC. Explosive conversations.
PLDT Cares,28/10/2021 23:58,"@Mafe1692976317 Thank you for your message. Let me review your account. Please provide your telephone number, mobile contact number, and registered email. address."
Skins And Beer,28/10/2021 23:58,@PAYNE_21 Do I need to check my wife's phone? 😎
Porter Larsen,28/10/2021 23:58,@AsiataFive4 I’m now picturing you sitting on your phone tweeting with face paint. You still wearing the face paint? 😂
J A S 🎀..,28/10/2021 23:58,"So this morning we went to the huddle house around 4 am I place the order online, because the phone wasn’t working! I just knew I was finna go off about something🤦🏾‍♀️.. as soon as we got there they didn’t get the order online 🤬"
Gritty is the Way,28/10/2021 23:58,"@diego_biotech Here's a brief thread on Biden's history of racism.
https://t.co/Z331uyq4uT"
BobbyKRoberts,28/10/2021 23:58,"@NYGH_News Had to go into your hospital for pre-op and was shocked at the amount of ppl NOT wearing masks……almost all staff, sitting around by elevators chatting or talking on phone. In fact you guys have “No mask areas” which is just a group of c"
Scott phillips,28/10/2021 23:58,@BSSJagsSoftball Group 2! My phone automatically defaulted to 1
Michael Coonan,28/10/2021 23:58,Click to expand photos for better viewing note that these are vertical so turn tablet or phone to see them all
caddiguy,28/10/2021 23:58,@deathinalibrary phone sex in the wind? https://t.co/yVNddnyUR2
egor,28/10/2021 23:58,@chrisbrockhurs Aperture. Playing around with shutter would just make it choppy like a smartphone or action cam.
Garrett Cox,28/10/2021 23:58,Easy to talk that shit on the phone ain’t it dulce. If you ain’t bout pullin up or dropping an addy quit wasting my time. And get my name out yo head shawty @dulcemgo
Neko 🐱|| Dying from school,28/10/2021 23:58,@Kagura8999 I honestly would think how he gonna do with those phone xDDDD
Kate McClymont,28/10/2021 23:58,"Now @GladysB throwing a ""Brad"" under the bus for not being on top of the hospital funding. Phone intercept from May 2018. #ICAC"
Master the izm✨,28/10/2021 23:58,Is it me or does the inside of the pie move when you jiggle your phone https://t.co/tnRSMDa3L4
Amyah Freeman,28/10/2021 23:58,"okay everyone , for pc roblox is down but on mobile you can join what your friends are playing !"
ZYDABABYGOAT 👶🏽💰🐐,28/10/2021 23:58,Apple need a warning for 2% cause I be ignoring that damn 10% warning sorry &amp; be mad asf when my phone turn off🤣🤣🤣
lummox5o,28/10/2021 23:58,"@rutgersalumni @RutgersU any response or accountability? When the phone rings asking for $, this is one reason why the calls don’t last very long. Shameful behavior. https://t.co/pmCft59KK5"
James Fercho,28/10/2021 23:58,"@AjTrader7 DOJ is deep state. All 3 letter agencies have been infiltrated. The NSA is the only agency that is being used to bring it all down. They have every communication, every comm, every email, every text, every phone call on every deep state player."
plant life,28/10/2021 23:58,"@vegasmusic_scot @AOC Even if you dont use facebook,  they make a ghost profile of you and still can track you since you cannot delete it from your phone."
carolnicola,28/10/2021 23:58,@marshmallowpud @ashleydain1 @BrianEntin I watch the app on my android phone... No cable needed!
Word Tweet Cloud Bot,28/10/2021 23:58,@ssagascentist here's your word cloud ＼(＠O＠)／ (sponsored by Walloop - Live wallpapers for Windows Desktop PC or Android Phone https://t.co/67cyLavkw2 ) https://t.co/Ckq9o2s4iq
Cory Newson,28/10/2021 23:58,Oooh Microsoft phone call tomorrow!!!!!
yut⁷❄️🐢,28/10/2021 23:58,@btsvotingorg My phone storage can't help
Elena Hanny,28/10/2021 23:58,"@AlabamaFTBL Murphy vs. Fairhope  | High School Football 2021 Live
Panthers vs Pirates
Watch Live Here =&gt; https://t.co/Ok7NVPyXSa
The Fairhope (AL) varsity football team has a home conference game vs. Murphy (Mobile, AL) today @ 7p. https://t.co/cjarXP"
raegan ☆,28/10/2021 23:58,if my phone wasnt fucked id read blue period i love blue period sm blue period 💙💙💙💙💙💙💙
Stan Cross,28/10/2021 23:58,"@alexschristian feels so different from the inception of the mobile internet, where it was extremely obvious from the get go what the utilities and opportunities of having a portable cyberspace were. this basically needs a new version of vr to be invented"
PRGuy,28/10/2021 23:58,"Gladys Berejiklian on Dominic Perrottet in recorded phone tap with Daryl Maguire: ""I just spoke to Dom, he just put the money in the budget. He does what I ask him to do."" #ICAC"
Heather⁷∞- 🕺🏻💜🧈,28/10/2021 23:58,Working on setting up a new phone... it's like Play Store knows me....😅😅🤣😂😂 https://t.co/2SLPDjOtxh
Jayrants 神 #GSWRevengeSZN💙💛 #CurryInspirational,28/10/2021 23:58,"@YEAHITSM2 No cap my picks already came out lol

halloween kills and venom lol.

like so far nothing much.

I guess the black phone seems interesting and injustice."
Mike Brown,28/10/2021 23:58,@herooine Charge up that phone!!
Bill Dutting,28/10/2021 23:58,"See original hi res  artwork, buy prints, mugs, phone cases, etc. here:
https://t.co/ir8EuZOQcl
Thank you! https://t.co/XJkW9OZtzN"
💧🕯️ Fierce Dinosaur 🔥 🐨 😪 😡💉💉,28/10/2021 23:58,"Maybe we shouldn't allow pollies to have private phone conversations?
It's clear they say one thing to the public but try to wheeler-deal in private with public money.
#ICAC #NSWICAC #nswpol #Gladys #DarylMaguire  #auspol #AuspolSoCorrupt #FederalICACNow!"
devil morgan 😈 13,28/10/2021 23:58,when my phone says my airpods are connected but then starts blasting 25 from my phone speaker while i’m on the train 👁👄👁
Crikey,28/10/2021 23:58,"Robertson then plays another recording of a phone conversation between the two from two hours later where Berejiklian tells Maguire: 'I've already got you the Wagga hospital.' 

Says she called now NSW Premier Dominic Perrettot and told him to put the money in the budget #ICAC"
Tinklebadger 🔔🦡,28/10/2021 23:58,An initial indication that my phone is reaching its built-in obsolecence. F*ckers. https://t.co/pKkM8JemDP
Shelly,28/10/2021 23:58,"@TELUSsupport Hi Telus Support, my isolated senior parent in YEG has lost phone service &amp; your agent declined to assist her. She is alone without family nearby to help &amp; has no phone service in case of an emergency, this is a pandemic. Her account"
xinghua⁷ | ia cuz uni 😭,28/10/2021 23:58,@tiny_rk “ACCIDENTALLY” BLAST DNA ON YOUR PHONE
novellus aesthetics,28/10/2021 23:58,@ronansetron Why are people putting their own actual mobile number in?!? Departmental phone for the win
